,id,country,date,individuals,centroid_lon,centroid_lat,lat_max,lon_max,lan_min,lon_min,source
0,Poland_2022-09-06,Poland,2022-09-06,5951510,19.4013,52.1224,55.469505777204,26.4013,48.02154911827,12.4013,"UNHCR, Government"
1,Russian Federation_2022-09-05,Russian Federation,2022-09-05,2490480,38.1556078125,51.488850139616,55.991456445157,40.355733035714,51.727742159442,34.812904464286,"UNHCR, Government"
2,Hungary_2022-09-06,Hungary,2022-09-06,1338276,19.4131,47.1672,54.1672,26.58888125,43.760060981758,12.4131,"UNHCR, Government"
3,Romania_2022-09-04,Romania,2022-09-04,1169027,25.3,45.8667,52.8667,32.3,38.8667,18.3,"UNHCR, Government"
4,Slovakia_2022-09-06,Slovakia,2022-09-06,757851,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
5,Republic of Moldova_2022-09-06,Republic of Moldova,2022-09-06,600582,28.4646,47.1976,49.019638429728,31.685303125,45.044273452589,25.068115625,"UNHCR, Government"
6,Belarus_2022-09-06,Belarus,2022-09-06,16704,28.0463,53.5384,57.838933546403,33.727940625,48.496893952144,21.0463,"UNHCR, Government"
7,Poland_2022-08-30,Poland,2022-08-30,5796748,19.4013,52.1224,55.469505777204,26.4013,48.02154911827,12.4013,"UNHCR, Government"
8,Russian Federation_2022-08-30,Russian Federation,2022-08-30,2414075,38.1556078125,51.488850139616,55.991456445157,40.355733035714,51.727742159442,34.812904464286,"UNHCR, Government"
9,Hungary_2022-08-30,Hungary,2022-08-30,1292632,19.4131,47.1672,54.1672,26.58888125,43.760060981758,12.4131,"UNHCR, Government"
10,Romania_2022-08-28,Romania,2022-08-28,1127998,25.3,45.8667,52.8667,32.3,38.8667,18.3,"UNHCR, Government"
11,Slovakia_2022-08-30,Slovakia,2022-08-30,736387,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
12,Republic of Moldova_2022-08-30,Republic of Moldova,2022-08-30,591957,28.4646,47.1976,49.019638429728,31.685303125,45.044273452589,25.068115625,"UNHCR, Government"
13,Belarus_2022-08-30,Belarus,2022-08-30,16701,28.0463,53.5384,57.838933546403,33.727940625,48.496893952144,21.0463,"UNHCR, Government"
14,Poland_2022-08-23,Poland,2022-08-23,5625142,19.4013,52.1224,55.469505777204,26.4013,48.02154911827,12.4013,"UNHCR, Government"
15,Russian Federation_2022-08-23,Russian Federation,2022-08-23,2308790,38.1556078125,51.488850139616,55.991456445157,40.355733035714,51.727742159442,34.812904464286,"UNHCR, Government"
16,Hungary_2022-08-23,Hungary,2022-08-23,1242352,19.4131,47.1672,54.1672,26.58888125,43.760060981758,12.4131,"UNHCR, Government"
17,Slovakia_2022-08-23,Slovakia,2022-08-23,713588,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
18,Republic of Moldova_2022-08-23,Republic of Moldova,2022-08-23,585614,28.4646,47.1976,49.019638429728,31.685303125,45.044273452589,25.068115625,"UNHCR, Government"
19,Belarus_2022-08-23,Belarus,2022-08-23,16692,28.0463,53.5384,57.838933546403,33.727940625,48.496893952144,21.0463,"UNHCR, Government"
20,Poland_2022-08-16,Poland,2022-08-16,5439431,19.4013,52.1224,55.469505777204,26.4013,48.02154911827,12.4013,"UNHCR, Government"
21,Russian Federation_2022-08-16,Russian Federation,2022-08-16,2197679,38.1556078125,51.488850139616,55.991456445157,40.355733035714,51.727742159442,34.812904464286,"UNHCR, Government"
22,Hungary_2022-08-16,Hungary,2022-08-16,1188983,19.4131,47.1672,54.1672,26.58888125,43.760060981758,12.4131,"UNHCR, Government"
23,Slovakia_2022-08-16,Slovakia,2022-08-16,690337,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
